Identificacao;Data_remocao;Situacao;Descricao;Cidade;Distrito;Regiao;Fonte;Mapeamento_anterior;Justificativa;Observacao;Tipologia;Propriedade;Proprietario;Familias_ameacadas;Familias_removidas;Movimento;Zoneamento;Inicio_ocupacao;Endereco;Latitude;Longitude;Links;;;;;;;;;;;;;
OCUPACAO ELZA DE GUIMARAES;;AMEACA DE REMOCAO;Ocupacao teve inicio em outubro de 2016. O terreno pertence a COHAB e permaneceu abandonada ha mais de 30 anos. A ocupacao esteve ameacada de reintegracao de posse marcada para o dia 05/07/2017, mas os moradores conseguiram um acordo de mais 6 meses para ficar na area. As familias ja sofriam processo de reintegracao e o contato com a Defensoria Publica de Santana em 2020 revelou a sobreposicao da ameaca de remocao pela PPP Municipal, o que agiliza o processo de remocao das familias e indica a possiblidade do nao-atendimento das familias removidas pela PPP Municipal (em caso da remocao ser realizada por justificativa de reintegracao de posse);SAO PAULO;CACHOEIRINHA;NORTE 2;Clipping;NAO;PARCERIAS PUBLICO PRIVADAS;PPP Casa da Familia;TERRENO VAZIO;PUBLICA;COHAB;110;;FLM;ZEIS-5;;Rua Elza Guimaraes, 277, Casa Verde/Cachoeirinha, Sao Paulo, SP, Brasil;-23.468678;-46.651312;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://www.tvt.org.br/moradores-de-ocupacao-em-lauzane-paulista-conseguem-mais-6-meses/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
OCUPACAO IMIRIM;;AMEACA DE REMOCAO;Ocupado desde fevereiro de 2014, as familias ocuparam a area apos serem removidas de outra ocupacao que havia gas metano, entao o abandonaram. As familias estao inscritas em programas habitacionais. O terreno e da COHAB, que desapropriou o terreno para a implantacao de Programa Habitacional - Aida Gomes. Uma liminar de reintegracao de posse de 2014, que fora interposta por recurso de agravo, foi tornada definitiva em 17 de julho de 2017.  Processo nº 1007673.39.2014.8.20.0001;SAO PAULO;CACHOEIRINHA;NORTE 2;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;COHAB;250;;FLM;ZEIS-2;2014;Rua Atlantico Meridional, 82;-23.47699;-46.65807;;;;;;;;;;;;;;
PEDRO BRASIL;;AMEACA DE REMOCAO;As familias ja sofriam processo de reintegracao de posse desde 2017. O contato com a Defensoria Publica de Santana em 2020 revelou a sobreposicao da ameaca de remocao pela PPP Municipal, o que agiliza o processo de remocao das familias e indica a possiblidade do nao-atendimento das familias removidas pela PPP Municipal (em caso da remocao ser realizada por justificativa de reintegracao de posse);SAO PAULO;CACHOEIRINHA;NORTE 2;Defensoria Publica de Santana (2020). Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;PARCERIAS PUBLICO PRIVADAS;PPP Casa da Familia;TERRENO VAZIO;PUBLICA;COHAB;117;;0;ZEIS-2;;Rua Vereador Pedro Brasil Bndecchi, Casa Verde/Cachoeirinha, Sao Paulo, SP, Brasil;-23.4711838;-46.6530713;;;;;;;;;;;;;;
SITIO DOS PINTOS;;AMEACA DE REMOCAO;Acao de reintegracao de posse autuada em julho de 2016, de uma ocupacao do inicio de 2016, onde atualmente moram mais de 300 familias a beira da Fernao Dias. E a terceira vez que o terreno e ocupado. Teve decisao favoravel aos herdeiros da area em agosto de 2016, mas nunca foi cumprida por inercia deles. Os ocupantes tentaram negociar a compra do terreno mas os herdeiros nao aceitaram a proposta. Em dezembro de 2019, os herdeiros pedem prazo para tomar as providencias necessarias a reintegracao de posse. Em fevereiro de 2020, no entanto, por conta do lapso temporal da liminar de agosto de 2016, solicita seja expedido um mandado de constatacao para saber quantas familias ocupam a area, bem como seja informado onde as familias serao realocadas. ;SAO PAULO;TREMEMBE;NORTE 1;Dados oficiais - Defensoria Publica de Santana;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;300;;;ZPDS;2016;Rua Vila de Arouca, S/N, Retorno Km 80, Sitio Barrocada - CEP 02285-020, Sao Paulo-SP;-23.415711;-46.578845;;;;;;;;;;;;;;
GRANJA SANTO AMARO;;AMEACA DE REMOCAO;"Ocupacao rural no bairro do Cabucu, ligada (lideranca) tambem com a Flor de Maio e Orquidea. Em junho de 2016 ocorreu a primeira ocupacao, feita por 60 pessoas que fizeram ""piquetes"" e dias depois, havia aproximadamente 40 barracos de lona e madeira. A segunda ocupacao, ocorreu no final da Rua Brinco de Princesa, do loteamento da Flor de Maio (600 m²). A terceira, localizada entre a Rua Mimosa e a rua Boca de Leao (3000 m²), tambem do mesmo loteamento. Em julho de 2017 foi publicado um despacho do MP suspendendo o cumprimento da liminar devido ""alta complexidade diante da extensao da area e numero de familias a serem dela retiradas""";GUARULHOS;;;Dados oficiais - Defensoria Publica de Santana;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;100;;;;2016;;;;;;;;;;;;;;;;;
FAZENDA SANTA MARIA DA CANTAREIRA - CORONEL SEZEFREDO;;AMEACA DE REMOCAO;Area faz parte do processo de construcao do Rodoanel Norte. Em 2013 foi desapropriada para passagem, na qual encontra-se em andamento. Ocupacao ocorreu em 2015 e ha 1.068 pessoas.;SAO PAULO;TUCURUVI;NORTE 1;Dados oficiais - Defensoria Publica de Santana;NAO;REINTEGRACAO DE POSSE;;;PRIVADA;;1068;;MTST;;2015;Rua Kontida n.º 1681, Jardim Corisco;-23.425485;-46.581908;;;;;;;;;;;;;;
COHAB NOSSA SENHORA DA PENHA;;AMEACA DE REMOCAO;Ha 3 ocupacoes na area. Segundo a COHAB, em 1991 iniciou-se as obras do Conjunto Habitacional e em 2000 ocorreu uma paralisacao apos estudos ambientais identificarem contaminacao no solo e agua subterranea, com gas e residuos impedindo a construcao nos outros terremos. Em 2014 ocorreu um ultimo estudo ambiental (visando o fechamento definitivo da area) no qual a mesma foi dividida em dez blocos de interesse, hoje ocupados. ;SAO PAULO;CACHOEIRINHA;NORTE 2;Dados oficiais - Defensoria Publica de Santana;SIM;AREA DE RISCO;Areas Verdes 01 a 06, Area Institucional 3, e quadras 01, 04 a 08 e 18 a 23;TERRENO VAZIO;PUBLICA;COHAB;;;;;;Conjunto Habitacional Nossa Senhora da Penha Bolsao II/III sito na Rua Joao dos Santos Abreu 1077 X Rua Joaquim Afonso de Souza, Sao Paulo-SP, CEP 02566-020;-23.483062;-46.662895;;;;;;;;;;;;;;
TRAVESSA IGARAPE (JOVA RURAL - AREA INSTITUCIONAL);;AMEACA DE REMOCAO;Trata-se de uma area localizada no interior do Conjunto Habitacional Jova Rural, de propriedade da CDHU, destinada a implantacao de projeto viario. A area ja teria sido ocupada outras vezes, mas o estabelecimento da ocupacao teria sido impedido pela policia militar. ;SAO PAULO;JACANA;NORTE 1;Dados oficiais - Defensoria Publica de Santana;SIM;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;CDHU;18;;;;2015;Lote 6 da Quadra 25 localizado entre a Travessa Igarape e Rua Ari da Rocha Miranda, Jacana/Tucuruvi - Sao Paulo/SP - CEP 02281-190;-23.452368;-46.577880;;;;;;;;;;;;;;
JARDIM VAL PARAISO;;AMEACA DE REMOCAO;Trata-se da ocupacao de um lote no loteamento Jardim Val Paraiso, os ocupantes afirmam estar no local ha mais de 20 anos e buscam a regularizacao do seu assentamento. Ha uma controversia no processo sobre os limites e a titularidade da area: se seria da empresa que entrou com a acao de reintegracao de posse ou se area publica municipal. Ainda nao foi feita pericia.  ;SAO PAULO;TREMEMBE;NORTE 1;Dados oficiais - Defensoria Publica de Santana;NAO;REINTEGRACAO DE POSSE;"Advogada dos ocupantes: Marilda Mazzini

Apesar de se tratar de acao de reintegracao de posse promovida por um particular, ha uma controversia no processo sobre a titularidade da area, uma vez que os ocupantes afirmam se tratar de area publica municipal. 

";TERRENO VAZIO;PRIVADA;J.A.L Administracao e Imoveis Ltda.;15;;MOVIMENTO DE LUTA PELA REGULARIZACAO DOS LOTEAMENTOS IRREGULARES DA ZONA NORTE;;2003;Lote 21-B da Quadra J do Loteamento Jardim Valparaiso - Rua do Segredo, s/nº, Furnas, Sao Paulo/SP - CEP 02367-390;-23.424757;-46.587974;;;;;;;;;;;;;;
COHAB NOSSA SENHORA DA PENHA;;AMEACA DE REMOCAO;Ha 3 ocupacoes na area. Segundo a COHAB, em 1991 iniciou-se as obras do Conjunto Habitacional e em 2000 ocorreu uma paralisacao apos estudos ambientais identificarem contaminacao no solo e agua subterranea, com gas e residuos impedindo a construcao nos outros terremos. Em 2014 ocorreu um ultimo estudo ambiental (visando o fechamento definitivo da area) no qual a mesma foi dividida em dez blocos de interesse, hoje ocupados. ;SAO PAULO;CACHOEIRINHA;NORTE 2;Dados oficiais - Defensoria Publica de Santana;SIM;AREA DE RISCO;Areas Verdes 01 a 06, Area Institucional 3, e quadras 01, 04 a 08 e 18 a 23;TERRENO VAZIO;PUBLICA;COHAB;;;;;;Conjunto Habitacional Nossa Senhora da Penha Bolsao II/III sito na Rua Joao dos Santos Abreu 1077 X Rua Joaquim Afonso de Souza, Sao Paulo-SP, CEP 02566-020;-23.483062;-46.662895;;;;;;;;;;;;;;
VILA NOVA CACHOEIRINHA;;AMEACA DE REMOCAO;"Risco de continuar no local e segundo a COHAB ""uso dos predios nas atuais condicoes, importando em grave ameaca a integridade fisica de seus ocupantes, dos vizinhos e transeuntes."". Informa que ja foi constato gas metano no subsolo da area. Subprefeitura da Casa Verde fez uma interdicao nas areas das edificacoes no empreendimento Vila Nova Cachoeirinha/Nossa Senhora da Penha no dia 24/08/2006, inclusive a area que se encontra as casas ainda em construcao (inacabadas).";SAO PAULO;CACHOEIRINHA;NORTE 2;Dados oficiais - Defensoria Publica de Santana;SIM;AREA DE RISCO;;TERRENO VAZIO;PUBLICA;COHAB;;;;;;Ruas MendoncaJunior nºs03/04/05/06/07;-23.480236;-46.662546;;;;;;;;;;;;;;
RUA EDGAR;;AMEACA DE REMOCAO;"O imovel ja tem outras acoes de despejo desde de 2008 sob nºs, 0613657-79.2008.8.26.0001; 0608132-19.2008.8.26.0001; 4005026-54.2013.8.26.0001; 4005028-24.2013.8.26.0001; 4005029-09.2013.8.26.0001; 4005030-91.2013.8.26.0001; 4005032-61.2013.8.26.0001; 4005034-31.2013.8.26.0001. Em 2017 ocorreu reintegracao de posse sob processo de nº 4005030-91.2013.8.26.0001. Mesmo com a reintregracao de posse de um imovel, ocorreu a reconstrucao da moradia para casa ao lado. Nao ha informacao de quantas casas ha na area, apenas citacoes das numeracoes das casas 06, 07 e 14.";SAO PAULO;VILA MARIA;;Dados oficiais - Defensoria Publica de Santana;SIM;REINTEGRACAO DE POSSE;;;PRIVADA;;20;;;;2017; Rua Edgard, nºs 422 e 428, Bairro e Subdistrito Vila Maria;-23.501147;-46.596240;;;;;;;;;;;;;;
LOBO DE MIRANDA;;AMEACA DE REMOCAO;Acao de reintegracao de posse de junho de 2018.  Em fevereiro de 2017, inquilinos de um imovel passaram a ocupar depois que a proprietaria solicitou a saida antes do termino do contrato por problemas de seguranca na edificacao. Apesar de a ocupacao ter mais de 1 ano e 1 dia, foi deferida a medida liminar. Antes de todas as familias terem sido citadas, desocuparam o imovel em dezembro de 2018. O caso teve atuacao do Nucleo de Mediacao de Conflitos da Prefeitura. ;SAO PAULO;VILA MARIA;NORTE 1;Dados oficiais - Defensoria Publica de Santana;SIM;REINTEGRACAO DE POSSE;NA;EDIFICACAO;PRIVADA;"Particular / 
Pessoas fisicas ";10;;NC;ZC;2017;Rua Lobo de Miranda, nºs 2, 4, 8, 10-A, 10-B, 10-C, 14 e 16, Vila Maria Alta, CEP 02129-050;-23.503790;-46.590442;;;;;;;;;;;;;;
BARROCADA;;AMEACA DE REMOCAO;Acao de reintegracao de posse de novembro de 2016. Liminar para a reintegracao de posse em  dezembro, mas suspensa em outubro de 2017. Na defesa, as familias alegam que haviam comprado os lotes. Atualmente, estao sendo feitas pericias para levantar quantas familias residem na area, a quanto tempo, e qual a situacao das construcoes.;SAO PAULO;TREMEMBE;NORTE 1;Dados oficiais - Defensoria Publica de Santana;NAO;REINTEGRACAO DE POSSE;NA;TERRENO VAZIO;PRIVADA;"Particular / 
Pessoa fisica";180;;NC;ZPDS ou ZEPAM;2016;Estrada Professor Edmundo Rosset (antiga estrada da Barrocada), 1903, Bairro Cachoeira;-23.406329;-46.577076;;;;;;;;;;;;;;
VOLUNTARIOS DA PATRIA;;AMEACA DE REMOCAO;"Ocupacao com siginificativa presenca de imigrantes, de varias nacionalidades. O edificio, para onde estava previsto o empreendimento ""Apart Hotel Anhembi"", encontrava-se com as obras paralisadas.";SAO PAULO;SANTANA;NORTE 1;Dados oficiais - Defensoria Publica de Santana;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;Apta Construtora e Incorporadora Ltda.;160;;;;2016;Rua Voluntarios da Patria, nºs 645, 647, 649 e 663, Santana - Sao Paulo/SP - CEP 02010-000;-23.51458;-46.62675;;;;;;;;;;;;;;
AMALIA MATARAZZO;;AMEACA DE REMOCAO;"Trata-se de acao de reintegracao de posse relativa a area denominada Jardim Antartica com 1.608 unidades do SFH, na area verde, num total de 21.917 m². Segundo a COHAB, ha risco para os moradores de deslizamento de terra. ""Alega-se ainda que, as recentes chuvas vem atingindo de forma bastante intensa e aumentando as chances de acidentes irreparaveis no local.""";SAO PAULO;CACHOEIRINHA;NORTE 2;Dados oficiais - Defensoria Publica de Santana;NAO;REINTEGRACAO DE POSSE;Sem processo digital no site, tambem se soma a ameaca de remocao a presenca de risco geologico;;PUBLICA;COHAB;384;;;ZEIS-1;1958;Rua Condessa Amalia Matarazzo, 18 - Jardim Peri;-23.4619472848205;-46.6531486509283;;;;;;;;;;;;;;
FAVELA GUAPIRA II;;AMEACA DE REMOCAO;A favela, com 760 familias, existe desde 1990 e encontra-se com ameacas de remocoes, pois faz parte do perimetro de intervencao do projeto Renova SP e consta no Habisp sem empreendimento previsto para reassentar as familias.;SAO PAULO;TREMEMBE;NORTE 1;Dados oficiais - Defensoria Publica de Santana;SIM;URBANIZACAO DE FAVELAS;Tambem se soma a ameaca de remocao a presenca de risco geologico;TERRENO VAZIO;PUBLICA;PREFEITURA;760;;;;;;-23.448971435292794;-46.58222327193596;;;;;;;;;;;;;;
MIGUEL IGNACIO CURI;;AMEACA DE REMOCAO;Nova ameaca de remocao em 2018 com o PAC mobilidade - corredores de onibus da ZL. Nova esperanca e o Plano de Urbanizacao e Regularizacao Fundiaria. ;SAO PAULO;ITAQUERA;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;OBRAS PUBLICAS;;;;;;;;;;Av. Miguel Ignacio Curi;-23.549765;-46.464742;;;;;;;;;;;;;;
JD. HELIAN;;AMEACA DE REMOCAO;"Vila Soco, disputa por terra, usucapiao / Reurb-S;  Loteamento irregular iniciou em 1974, houve a compra dos lotes irregulares. Nao possui infraestrutura minima (falta agua, luz). Moradores possuem esperanca na Reurb-S. Especulacao imobiliaria presente, condominios vao chegandoe  empurrando a favela.";SAO PAULO;PARQUE DO CARMO;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;;;;;;;;;;-23.57646;-46.45423;;;;;;;;;;;;;;
TABOR;;AMEACA DE REMOCAO;Ameaca de remocao devido ao PAC drenagem aricanduva;SAO PAULO;DIVISA IGUATEMI E PARQUE DO CARMO;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;OBRAS PUBLICAS;;;;;;;;;;Estrada da Fazenda do Carmo;-23.596321;-46.459085;;;;;;;;;;;;;;
SAO GONCALO;;AMEACA DE REMOCAO;Ameaca de remocao devido ao PAC drenagem aricanduva;SAO PAULO;DIVISA IGUATEMI E PARQUE DO CARMO;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;OBRAS PUBLICAS;;;;;;;;;;;-23.596834;-46.458605;;;;;;;;;;;;;;
PISCINAO;;AMEACA DE REMOCAO;Ameaca de remocao devido ao PAC drenagem aricanduva;SAO PAULO;IGUATEMI;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;OBRAS PUBLICAS;;;;;;;;;;;-23.592686;-46.446296;;;;;;;;;;;;;;
LUPERCIO;;AMEACA DE REMOCAO;Ameaca de remocao devido ao PAC drenagem aricanduva;SAO PAULO;IGUATEMI;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;OBRAS PUBLICAS;;;;;;;;;;Rua LupErcio de Souza Cortez;-23.593439;-46.447184;;;;;;;;;;;;;;
QUARESMA DELGADO;;AMEACA DE REMOCAO;Local já passou por remocao parcial e continua ameacado de remocao.;SAO PAULO;SAO RAFAEL;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;;;;;378;;;;Rua Quaresma Delgado;-23.626012;-46.467557;;;;;;;;;;;;;;
JD. SAO FRANCISCO / JD. SANTO ADNRE;;AMEACA DE REMOCAO;Local sofre pressões constantes do mercado imobiliário. Ocupacao precaria, com falta de infraestrutura, sem acesso a agua e luz. ;SAO PAULO;SAO RAFAEL;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;;;;;;;;;;-23.63644;-46.45386;;;;;;;;;;;;;;
VILA SAO PEDRO;;AMEACA DE REMOCAO;Ocupacao ja passou por reintegracao de posse em 2016, atualmente encontra-se novamente ameacada de remocao;SAO BERNARDO DO CAMPO;;ABC;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;;;1000;;;;;Vila Sao Pedro;-23.717944;-46.52468;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""https://www.dgabc.com.br/TV/Video/2472960/21/reintegracao-de-posse-na-vl-sao-pedro-deve-ocorrer-na-quarta-feira?autoStart=True"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais 1</a>";;;;;;;;;;;;;
JD ORATORIO;;AMEACA DE REMOCAO;Cerca de 30 familias da Travessa Itaparica, no Jardim Oratorio, em Maua, estao preocupadas com as remocoes que a Prefeitura vem realizando no local. Area de risco proxima ao Centro da cidade, o localrecebeu obras de canalizacao de esgoto em 2018, mas agora os moradores estao sendo incluidos pela administracao no auxilio-aluguel e devem deixar os imoveis. As remocoes tem sido frequentes, desde 2009, bem como a reocupacao da area.;MAUA;;ABC;Clipping;NAO;OBRAS PUBLICAS;;TERRENO VAZIO;;;30;;;;;Jd. Oratorio;-23.659882;-46.463383;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""https://www.dgabc.com.br/Noticia/3072965/familias-do-jd-oratorio-temem-remocoes"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais 1</a>";;;;;;;;;;;;;
MORRO DOS MACACOS;;AMEACA DE REMOCAO;A acao de reintegracao de posse movida pelo Ministerio Publico contra a prefeitura de Sao Paulo exime a administracao da responsabilidade de atender com programas habitacionais as familias que estao no local, uma vez que area já foi objeto de desocupacao e outras 1.045 famílias foram atendidas. As remocoes tem sido frequentes desde 2014, bem como a reocupacao da area.;DIADEMA;;ABC;Clipping;NAO;AREA DE RISCO;;TERRENO VAZIO;PRIVADA;;1500;;;;;Avenida Alda;-23.691491;-46.627809;;;;;;;;;;;;;;
BALSA DO BORORE;;AMEACA DE REMOCAO;;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;AREA DE PROTECAO AMBIENTAL;;;PUBLICA;;40;;;;;Av. Belmira Marin, 6.500, Jd. Shangri-la - Sao Paulo/SP;-23.668468005818;-46.7421573740509;;;;;;;;;;;;;;
FAVELA MIRANDAS I E II, FAVELA OLARIA, FAVELA CANTO DO RIO VERDE E FAVELA FRANCISO DE SALES;;AMEACA DE REMOCAO;;SAO PAULO;CIDADE ADEMAR;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;CTEEP;1000;;;;;Estrada dos Mirandas, s/n, Torres 17 e 20, Vila Carioca - Sao Paulo/SP;-23.6839782809776;-46.6510670482705;;;;;;;;;;;;;;
ANCHIETA;;AMEACA DE REMOCAO;;SAO PAULO;PEDREIRA;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;INSTITUTO ANCHIETA;1500;;;;;Rua Alziro Pinheiro Magalhaes, sem numero, Pq. Sao Miguel - Sao Paulo/SP;-23.7059093396904;-46.6425936718327;;;;;;;;;;;;;;
AMERICANOPOLIS;;AMEACA DE REMOCAO;;SAO PAULO;GRAJAU;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;;PUBLICA;TRANSPETRO;;;;;;Rua Yervant Kissajikian, altura do n°3418 B - Casa 04, Vila Joaniza;-23.7312182535362;-46.6771473156341;;;;;;;;;;;;;;
CANTINHO DO CEU;;AMEACA DE REMOCAO;;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;;500;;;;;Rua Tres Marias, s/n, Parque Novo Santo Amaro, Sao Paulo/SP;-23.6584356624022;-46.7292512049945;;;;;;;;;;;;;;
JD. SANTA EFIGENIA/CAMPO LIMPO;;AMEACA DE REMOCAO;;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;;PUBLICA;PAULO Y. KAHARA;7;;;;;R. Lira Cearense, n. 99, Campo Limpo - Sao Paulo/SP;-23.6626479549274;-46.7579874200585;;;;;;;;;;;;;;
FAVELA FUMACA - BILINGS (EMAE);;AMEACA DE REMOCAO;;SAO PAULO;GRAJAU;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;EMAE;550;;;;;Estrada do Alvarenga, junto ao n. 3970 e proximo ao Parque Doroteia - Sao Paulo/SP;-23.7773382135273;-46.7070175952743;;;;;;;;;;;;;;
SUCUPIRA;;AMEACA DE REMOCAO;;SAO PAULO;CAMPO LIMPO;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;EMAE;5000;;;;;Av. Belmira Marin, 3.000;-23.6410279248065;-46.7610273600658;;;;;;;;;;;;;;
COCAIA;;AMEACA DE REMOCAO;;SAO PAULO;PEDREIRA;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;;PUBLICA;EMAE;620;;;;;Rua Dr. Nuno Guerner;-23.7058783239353;-46.6436770912383;;;;;;;;;;;;;;
RUA ABDO AMBUBA;;AMEACA DE REMOCAO;;SAO PAULO;CIDADE ADEMAR;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;;PUBLICA;CHRISTIANE  COPPOLA BOVE SANTO e outros;38;;;;;Rua Abdo Ambuba, sem numero, Vila Andrade - Sao Paulo/SP;-23.6784282989466;-46.6428169953302;;;;;;;;;;;;;;
BAIRRO ESCUDEIRO;;AMEACA DE REMOCAO;;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;PAULISTA S/A;300;;;;;Rua Dr. Danton Marques, 17;-23.6947666772504;-46.796688651951;;;;;;;;;;;;;;
TEOTONIO VILELLA;;AMEACA DE REMOCAO;;SAO PAULO;CIDADE DUTRA;SUL 2;Dados oficiais - Defensoria Publica de Santo Amaro;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;SITIO MONTESOL;200;;;;;Av. Senador Teotonio Vilela, 6400;-23.75324;-46.71147;;;;;;;;;;;;;;
